,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
47,for_sale,149900.0,1.0,1.0,0.26,"Bo Espinal Carr # 442, Aguada, PR, 00602",Bo Espinal Carr # 442,Aguada,Puerto Rico,2100.0,00602
48,for_sale,180000.0,2.0,2.0,0.24,"4417 Br, Aguada, PR, 00602",4417 Br,Aguada,Puerto Rico,1138.0,00602
52,for_sale,90000.0,2.0,1.0,0.07,"A-18 Condominio Los Almendros, Aguada, PR, 00602",A-18 Condominio Los Almendros,Aguada,Puerto Rico,813.0,00602
56,for_sale,10000000.0,6.0,5.0,0.12,"441 Bo Carrizal Km 2 6 Unit 4, Aguada, PR, 00602",441 Bo Carrizal Km 2 6 Unit 4,Aguada,Puerto Rico,6000.0,00602
70,for_sale,600000.0,6.0,5.0,0.1,"Pr, Aguada, PR, 00602",Pr,Aguada,Puerto Rico,2400.0,00602
88,for_sale,115000.0,3.0,1.0,0.2,"Sec Villa Cortez, Aguadilla, PR, 00603",Sec Villa Cortez,Aguadilla,Puerto Rico,980.0,00603
105,for_sale,234900.0,6.0,2.0,0.18,"Bo Camaseyes Calle San Francisco # 108, Aguadilla, PR, 00603",Bo Camaseyes Calle San Francisco # 108,Aguadilla,Puerto Rico,2035.0,00603
115,for_sale,649900.0,8.0,3.0,0.19,"Bo Montana Calle Las Palmas, Aguadilla, PR, 00603",Bo Montana Calle Las Palmas,Aguadilla,Puerto Rico,3700.0,00603
127,for_sale,98000.0,5.0,2.0,4.55,"Bo Maricao Afuera, Maricao, PR, 00606",Bo Maricao Afuera,Maricao,Puerto Rico,2156.0,00606
176,for_sale,106000.0,2.0,1.0,0.13,"Solar Carr 109 Km 4 9 Bo Carreras # 6, Anasco, PR, 00610",Solar Carr 109 Km 4 9 Bo Carreras # 6,Anasco,Puerto Rico,826.0,00610
225,for_sale,475000.0,1.0,3.0,0.13,"58 Calle Gonzalo Marin # 0, Arecibo, PR, 00612",58 Calle Gonzalo Marin # 0,Arecibo,Puerto Rico,10000.0,00612
229,for_sale,39500.0,1.0,1.0,0.14,"Pr, Arecibo, PR, 00612",Pr,Arecibo,Puerto Rico,800.0,00612
232,for_sale,110000.0,4.0,2.0,0.13,"Car 2 R656 K1 H1 Sector Pueblo Nuevo Bo Bajadero, Arecibo, PR, 00612",Car 2 R656 K1 H1 Sector Pueblo Nuevo Bo Bajadero,Arecibo,Puerto Rico,1000.0,00612
237,for_sale,179000.0,5.0,3.0,0.08,"Calle V18 Urb Vis, Arecibo, PR, 00612",Calle V18 Urb Vis,Arecibo,Puerto Rico,2200.0,00612
410,for_sale,150000.0,3.0,1.0,0.16,"A 12 Urb Victor Rivera Ext, Cabo Rojo, PR, 00623",A 12 Urb Victor Rivera Ext,Cabo Rojo,Puerto Rico,936.0,00623
411,for_sale,325000.0,3.0,4.0,0.23,"Marcial Rivera St, Cabo Rojo, PR, 00623",Marcial Rivera St,Cabo Rojo,Puerto Rico,3089.0,00623
412,for_sale,130000.0,3.0,4.0,0.09,"19 309 Kmhm Pr # 86, Cabo Rojo, PR, 00623",19 309 Kmhm Pr # 86,Cabo Rojo,Puerto Rico,2064.0,00623
413,for_sale,139900.0,2.0,2.0,0.46,"101 Llanos Tunas Sector Sosa, Cabo Rojo, PR, 00623",101 Llanos Tunas Sector Sosa,Cabo Rojo,Puerto Rico,1242.0,00623
415,for_sale,395000.0,8.0,5.0,0.48,"103 Rd, Cabo Rojo, PR, 00623",103 Rd,Cabo Rojo,Puerto Rico,8368.0,00623
422,for_sale,385000.0,3.0,3.0,0.26,"Calle 4 Hacienda De Belvedere Unit B2, Cabo Rojo, PR, 00623",Calle 4 Hacienda De Belvedere Unit B2,Cabo Rojo,Puerto Rico,2069.0,00623
428,for_sale,1995000.0,5.0,6.0,5.0,"Pr, Cabo Rojo, PR, 00623",Pr,Cabo Rojo,Puerto Rico,10000.0,00623
496,for_sale,135000.0,4.0,3.0,0.24,"Car 129 R455 K2 6 Int Parcelas Viejas, Camuy, PR, 00627",Car 129 R455 K2 6 Int Parcelas Viejas,Camuy,Puerto Rico,1500.0,00627
554,for_sale,300000.0,8.0,4.0,0.45,"Pr, Sabana Grande, PR, 00637",Pr,Sabana Grande,Puerto Rico,2852.0,00637
555,for_sale,54900.0,5.0,2.0,1.21,"328 Km 2 3 Bo Rayos Guaras, Sabana Grande, PR, 00637",328 Km 2 3 Bo Rayos Guaras,Sabana Grande,Puerto Rico,1898.0,00637
556,for_sale,250000.0,2.0,1.0,0.2,"121 Km Hm 6 9 Solar 1 Bo Susua, Sabana Grande, PR, 00637",121 Km Hm 6 9 Solar 1 Bo Susua,Sabana Grande,Puerto Rico,1275.0,00637
608,for_sale,65000.0,3.0,2.0,0.09,"Las Casitas Unit A12, Ciales, PR, 00638",Las Casitas Unit A12,Ciales,Puerto Rico,1100.0,00638
620,for_sale,75000.0,5.0,3.0,0.1,"191 Ave Esteves, Utuado, PR, 00641",191 Ave Esteves,Utuado,Puerto Rico,950.0,00641
626,for_sale,600000.0,6.0,3.0,30.0,"Pr 605 Bo Consejo # 0, Utuado, PR, 00641",Pr 605 Bo Consejo # 0,Utuado,Puerto Rico,5000.0,00641
627,for_sale,120000.0,3.0,1.0,0.26,"Pr611 Km 8 5 Sabana Grande, Utuado, PR, 00641",Pr611 Km 8 5 Sabana Grande,Utuado,Puerto Rico,781.0,00641
636,for_sale,12000000.0,4.0,7.0,0.37,"418 Dorado Bch E, Dorado, PR, 00646",418 Dorado Bch E,Dorado,Puerto Rico,7096.0,00646
637,for_sale,750000.0,3.0,3.0,0.24,"6E Zafiro St, Dorado, PR, 00646",6E Zafiro St,Dorado,Puerto Rico,2377.0,00646
638,for_sale,550000.0,3.0,3.0,0.16,"Chalets Dorado Del Mar, Dorado, PR, 00646",Chalets Dorado Del Mar,Dorado,Puerto Rico,2000.0,00646
639,for_sale,950000.0,4.0,3.0,0.14,"692 Mar Del Norte St, Dorado, PR, 00646",692 Mar Del Norte St,Dorado,Puerto Rico,2850.0,00646
640,for_sale,1150000.0,5.0,3.0,0.14,"695 Paseo Los Corales Ii, Dorado, PR, 00646",695 Paseo Los Corales Ii,Dorado,Puerto Rico,3500.0,00646
642,for_sale,5500000.0,3.0,2.0,0.24,"35 Brenas Ests, Dorado, PR, 00646",35 Brenas Ests,Dorado,Puerto Rico,2000.0,00646
643,for_sale,16000000.0,4.0,7.0,0.75,"31 Dorado Country Ests, Dorado, PR, 00646",31 Dorado Country Ests,Dorado,Puerto Rico,7000.0,00646
645,for_sale,995000.0,4.0,3.0,0.25,"771 Mar Negro St, Dorado, PR, 00646",771 Mar Negro St,Dorado,Puerto Rico,2900.0,00646
647,for_sale,1275000.0,4.0,4.0,0.25,"769 Calle Mar Negro, Dorado, PR, 00646",769 Calle Mar Negro,Dorado,Puerto Rico,2900.0,00646
648,for_sale,1135000.0,4.0,3.0,0.15,"689 Calle Mar Del Norte, Dorado, PR, 00646",689 Calle Mar Del Norte,Dorado,Puerto Rico,2850.0,00646
649,for_sale,4995000.0,3.0,4.0,0.22,"20 Dorado Bch E, Dorado, PR, 00646",20 Dorado Bch E,Dorado,Puerto Rico,3100.0,00646
656,for_sale,2500000.0,4.0,4.0,0.25,"28 Calle Palma De Mallorca, Dorado, PR, 00646",28 Calle Palma De Mallorca,Dorado,Puerto Rico,3509.0,00646
658,for_sale,5950000.0,3.0,5.0,0.23,"263 Dorado Bch E, Dorado, PR, 00646",263 Dorado Bch E,Dorado,Puerto Rico,3200.0,00646
661,for_sale,6495000.0,4.0,4.0,0.15,"3 Cond the Grns Unit D3, Dorado, PR, 00646",3 Cond the Grns Unit D3,Dorado,Puerto Rico,6703.0,00646
663,for_sale,6350000.0,3.0,4.0,0.06,"Plantation Village Plantation Dr Unit Ph, Dorado, PR, 00646",Plantation Village Plantation Dr Unit Ph,Dorado,Puerto Rico,2500.0,00646
666,for_sale,5900000.0,3.0,4.0,0.09,"65 Green Villas Dr Unit 15, Dorado, PR, 00646",65 Green Villas Dr Unit 15,Dorado,Puerto Rico,3914.0,00646
668,for_sale,1795000.0,4.0,4.0,0.23,"418 Camino Del Susua, Dorado, PR, 00646",418 Camino Del Susua,Dorado,Puerto Rico,2900.0,00646
673,for_sale,1500000.0,3.0,3.0,13.65,"G5 Costa Dorada Unit G5, Dorado, PR, 00646",G5 Costa Dorada Unit G5,Dorado,Puerto Rico,1942.0,00646
674,for_sale,3950000.0,7.0,6.0,0.26,"254 Camino Del Flamboyan, Dorado, PR, 00646",254 Camino Del Flamboyan,Dorado,Puerto Rico,4800.0,00646
889,for_sale,189900.0,4.0,3.0,0.25,"Quintas De Cabo Rojo Canario St # 198, Cabo Rojo, PR, 00623",Quintas De Cabo Rojo Canario St # 198,Cabo Rojo,Puerto Rico,1622.0,00623
894,for_sale,535000.0,4.0,5.0,0.51,"Villas De Plan Bonito Puerto Los Corales Units 18 & 19, Cabo Rojo, PR, 00623",Villas De Plan Bonito Puerto Los Corales Units 18 & 19,Cabo Rojo,Puerto Rico,2422.0,00623
1107,for_sale,1795000.0,7.0,5.0,0.1,"91-G Kennedy St Kikita Bch, Dorado, PR, 00646",91-G Kennedy St Kikita Bch,Dorado,Puerto Rico,3870.0,00646
1117,for_sale,15000000.0,6.0,7.0,0.36,"371 Dorado Bch E, Dorado, PR, 00646",371 Dorado Bch E,Dorado,Puerto Rico,6500.0,00646
1118,for_sale,1200000.0,5.0,5.0,0.02,"644 Calle Golfo De Alaska, Dorado, PR, 00646",644 Calle Golfo De Alaska,Dorado,Puerto Rico,4850.0,00646
1121,for_sale,989000.0,4.0,4.0,0.13,"G-37 Mar De Bering, Dorado, PR, 00646",G-37 Mar De Bering,Dorado,Puerto Rico,2800.0,00646
1124,for_sale,8500000.0,6.0,7.0,0.3,"354 Dorado Bch E, Dorado, PR, 00646",354 Dorado Bch E,Dorado,Puerto Rico,5073.0,00646
1125,for_sale,16500000.0,7.0,8.0,0.9,"2 Dorado Country Ests Unit 46, Dorado, PR, 00646",2 Dorado Country Ests Unit 46,Dorado,Puerto Rico,10000.0,00646
1126,for_sale,12500000.0,6.0,9.0,0.64,"372 Urb Dorado Bch E, Dorado, PR, 00646",372 Urb Dorado Bch E,Dorado,Puerto Rico,6554.0,00646
1127,for_sale,7500000.0,4.0,6.0,0.22,"318 Dorado Bch E, Dorado, PR, 00646",318 Dorado Bch E,Dorado,Puerto Rico,4400.0,00646
1128,for_sale,19500000.0,5.0,7.0,0.3,"51 Dorado Bch E, Dorado, PR, 00646",51 Dorado Bch E,Dorado,Puerto Rico,5000.0,00646
1131,for_sale,17000000.0,5.0,7.0,0.55,"9 Dorado Bch E, Dorado, PR, 00646",9 Dorado Bch E,Dorado,Puerto Rico,6000.0,00646
1132,for_sale,9200000.0,4.0,6.0,0.24,"286 Dorado Bch E, Dorado, PR, 00646",286 Dorado Bch E,Dorado,Puerto Rico,4414.0,00646
1133,for_sale,8995000.0,6.0,8.0,0.55,"170 Dorado Bch E, Dorado, PR, 00646",170 Dorado Bch E,Dorado,Puerto Rico,6398.0,00646
1134,for_sale,2500000.0,4.0,5.0,0.25,"32 Paseo Las Palmas, Dorado, PR, 00646",32 Paseo Las Palmas,Dorado,Puerto Rico,5000.0,00646
1136,for_sale,1700000.0,3.0,4.0,0.18,"214 Camino Los Ausubos, Dorado, PR, 00646",214 Camino Los Ausubos,Dorado,Puerto Rico,2900.0,00646
1137,for_sale,1300000.0,4.0,3.0,0.02,"Paseo De Los Corales Ii Mar De Bengal Unit 745, Dorado, PR, 00646",Paseo De Los Corales Ii Mar De Bengal Unit 745,Dorado,Puerto Rico,2900.0,00646
1140,for_sale,13700000.0,5.0,5.0,0.25,"500 Plantation Dr, Dorado, PR, 00646",500 Plantation Dr,Dorado,Puerto Rico,4200.0,00646
1141,for_sale,5195000.0,3.0,4.0,0.22,"193 Dorado Bch E, Dorado, PR, 00646",193 Dorado Bch E,Dorado,Puerto Rico,3500.0,00646
1146,for_sale,2750000.0,4.0,6.0,0.25,"1 Sabanera Dorado, Dorado, PR, 00646",1 Sabanera Dorado,Dorado,Puerto Rico,4200.0,00646
2680,for_sale,119500.0,3.0,2.0,0.24,"3rd Fuig Comm St # 63, Guanica, PR, 00653",3rd Fuig Comm St # 63,Guanica,Puerto Rico,1462.0,00653
2765,for_sale,100000.0,3.0,1.0,0.07,"D10 Urb Villas De Lavadero D-10 Calle # 6, Hormigueros, PR, 00660",D10 Urb Villas De Lavadero D-10 Calle # 6,Hormigueros,Puerto Rico,842.0,00660
2782,for_sale,60000.0,2.0,1.0,0.07,"283 Girasol Manuel Corcha St Lot 474, Isabela, PR, 00662",283 Girasol Manuel Corcha St Lot 474,Isabela,Puerto Rico,700.0,00662
2790,for_sale,220000.0,5.0,4.0,0.1,"Marginal Rd Units 3560 & 2, Isabela, PR, 00662",Marginal Rd Units 3560 & 2,Isabela,Puerto Rico,2500.0,00662
2793,for_sale,260000.0,3.0,3.0,8.0,"Pr 466 Isabela Del Mar Unit C103, Isabela, PR, 00662",Pr 466 Isabela Del Mar Unit C103,Isabela,Puerto Rico,1458.0,00662
2796,for_sale,599900.0,2.0,2.0,0.82,"Bo Jobos Carr 465 Km # 11, Isabela, PR, 00662",Bo Jobos Carr 465 Km # 11,Isabela,Puerto Rico,1671.0,00662
2797,for_sale,900000.0,9.0,5.0,0.14,"27 Calle Jos Celso Barbosa, Isabela, PR, 00662",27 Calle Jos Celso Barbosa,Isabela,Puerto Rico,4500.0,00662
2805,for_sale,975000.0,6.0,4.0,1.5,"Carr 459 Km 10 6 Bo Jobos Unit Lote C Lot B3, Isabela, PR, 00662",Carr 459 Km 10 6 Bo Jobos Unit Lote C Lot B3,Isabela,Puerto Rico,3739.0,00662
2922,for_sale,450000.0,4.0,3.0,0.31,"Lomas De Manatuabon Guarionex, Manati, PR, 00674",Lomas De Manatuabon Guarionex,Manati,Puerto Rico,2200.0,00674
2924,for_sale,600000.0,4.0,5.0,0.25,"182 Calle Yuisa, Manati, PR, 00674",182 Calle Yuisa,Manati,Puerto Rico,2700.0,00674
2926,for_sale,3100000.0,5.0,3.0,0.28,"33 Calle Linda Mar, Manati, PR, 00674",33 Calle Linda Mar,Manati,Puerto Rico,3000.0,00674
2950,for_sale,295000.0,2.0,2.0,0.02,"204 Condominio Sol Y Playa Unit 204, Rincon, PR, 00677",204 Condominio Sol Y Playa Unit 204,Rincon,Puerto Rico,1183.0,00677
2963,for_sale,295000.0,2.0,2.0,0.02,"1 2 Pr # 429, Rincon, PR, 00677",1 2 Pr # 429,Rincon,Puerto Rico,1183.0,00677
2965,for_sale,540000.0,5.0,4.0,0.25,"PR-115 Km 9 3 Bo Calvache Interior, Rincon, PR, 00677",PR-115 Km 9 3 Bo Calvache Interior,Rincon,Puerto Rico,2500.0,00677
2975,for_sale,2150000.0,8.0,5.0,0.27,"Gabino Tirado # 413, Rincon, PR, 00677",Gabino Tirado # 413,Rincon,Puerto Rico,6345.0,00677
2991,for_sale,260000.0,3.0,2.0,4.37,"9 Calle Sonera # 9, Quebradillas, PR, 00678",9 Calle Sonera # 9,Quebradillas,Puerto Rico,1164.0,00678
2995,for_sale,2500000.0,4.0,3.0,0.78,"Km 2 2 Pr-485 Rd, Quebradillas, PR, 00678",Km 2 2 Pr-485 Rd,Quebradillas,Puerto Rico,3154.0,00678
3038,for_sale,320000.0,4.0,5.0,0.17,"Carr 344 Km Hm 5 5 Bo Rosario, Mayaguez, PR, 00680",Carr 344 Km Hm 5 5 Bo Rosario,Mayaguez,Puerto Rico,2081.0,00680
3040,for_sale,125000.0,4.0,2.0,0.08,"27 Calle Santa Teresa, Mayaguez, PR, 00680",27 Calle Santa Teresa,Mayaguez,Puerto Rico,2214.0,00680
4261,for_sale,115000.0,3.0,2.0,0.15,"Roman Sector, Arecibo, PR, 00688",Roman Sector,Arecibo,Puerto Rico,1108.0,00688
4262,for_sale,135000.0,3.0,2.0,0.44,"Km 7 1 Int Pr # 639, Sabana Hoyos, PR, 00688",Km 7 1 Int Pr # 639,Sabana Hoyos,Puerto Rico,1200.0,00688
4359,for_sale,125000.0,3.0,2.0,0.07,"C Solar Manzana C # 69, Vega Alta, PR, 00692",C Solar Manzana C # 69,Vega Alta,Puerto Rico,1150.0,00692
4361,for_sale,270000.0,3.0,3.0,0.11,"B20 Ninoshka St Unit B20, Vega Alta, PR, 00692",B20 Ninoshka St Unit B20,Vega Alta,Puerto Rico,1626.0,00692
4366,for_sale,659000.0,4.0,5.0,0.72,"Pr, Vega Alta, PR, 00692",Pr,Vega Alta,Puerto Rico,5460.0,00692
4368,for_sale,475000.0,3.0,2.0,0.03,"3206 El Dorado Clb Unit 3206, Vega Alta, PR, 00692",3206 El Dorado Clb Unit 3206,Vega Alta,Puerto Rico,1564.0,00692
4374,for_sale,695000.0,7.0,6.0,0.25,"12 Calle 1 Solar, Vega Alta, PR, 00692",12 Calle 1 Solar,Vega Alta,Puerto Rico,4072.0,00692
4399,for_sale,185000.0,3.0,2.0,0.38,"Km 10 0 Int # Pr686 # PR686, Vega Baja, PR, 00693",Km 10 0 Int # Pr686 # PR686,Vega Baja,Puerto Rico,982.0,00693
4402,for_sale,300000.0,4.0,3.0,0.14,"24 Calle Boqueron, Vega Baja, PR, 00693",24 Calle Boqueron,Vega Baja,Puerto Rico,1960.0,00693
4405,for_sale,225000.0,3.0,4.0,0.03,"Rr686 Chalets De La Playa Unit 378, Vega Baja, PR, 00693",Rr686 Chalets De La Playa Unit 378,Vega Baja,Puerto Rico,1605.0,00693
4406,for_sale,125000.0,4.0,3.0,0.1,"Urb Alturas De Vega Baja Calle K I Unit 2, Vega Baja, PR, 00693",Urb Alturas De Vega Baja Calle K I Unit 2,Vega Baja,Puerto Rico,1975.0,00693
4420,for_sale,647900.0,6.0,6.0,0.45,"Camino Dos Pueblos El Hucar, San German, PR, 00683",Camino Dos Pueblos El Hucar,San German,Puerto Rico,4500.0,00683
4467,for_sale,105000.0,4.0,2.0,0.09,"Calle 1 P-486 5327 Calle Santa Maria Brisas Del Rosario, Vega Baja, PR, 00694",Calle 1 P-486 5327 Calle Santa Maria Brisas Del Rosario,Vega Baja,Puerto Rico,1116.0,00694
4572,for_sale,85000.0,3.0,2.0,0.09,"I5 St E, Aibonito, PR, 00705",I5 St E,Aibonito,Puerto Rico,900.0,00705
4623,for_sale,54500.0,3.0,1.0,0.05,"777 Carr, Aguas Buenas, PR, 00703",777 Carr,Aguas Buenas,Puerto Rico,950.0,00703
4672,for_sale,175000.0,3.0,2.0,882.0,"5015 Calle Punta Tuna Apt 2103, Maunabo, PR, 00707",5015 Calle Punta Tuna Apt 2103,Maunabo,Puerto Rico,1159.0,00707
4676,for_sale,200000.0,3.0,2.0,13.47,"5015 Calle Punta Tuna Apt 2102, Maunabo, PR, 00707",5015 Calle Punta Tuna Apt 2102,Maunabo,Puerto Rico,1159.0,00707
4677,for_sale,99900.0,2.0,1.0,0.41,"Bo Lizas Carr # 759, Maunabo, PR, 00707",Bo Lizas Carr # 759,Maunabo,Puerto Rico,650.0,00707
4771,for_sale,499999.0,3.0,3.0,0.09,"Blvd Julian D Rodriguez Bo Cerrillo # 4, Ponce, PR, 00715",Blvd Julian D Rodriguez Bo Cerrillo # 4,Ponce,Puerto Rico,4300.0,00715
4815,for_sale,126300.0,3.0,2.0,0.05,"4045 Paseo De La Vega, Ponce, PR, 00716",4045 Paseo De La Vega,Ponce,Puerto Rico,860.0,00716
4829,for_sale,875000.0,8.0,10.0,0.14,"9181 Marina St Unit 33, Ponce, PR, 00717",9181 Marina St Unit 33,Ponce,Puerto Rico,6154.0,00717
4831,for_sale,168000.0,3.0,1.0,0.01,"6108 Torres Edificio Antonsantti Unit 107, Ponce, PR, 00717",6108 Torres Edificio Antonsantti Unit 107,Ponce,Puerto Rico,822.0,00717
4832,for_sale,220000.0,3.0,3.0,2.89,"Camino Tres Palos Km 24 5 Anon Cerrillos Unit 10, Ponce, PR, 00717",Camino Tres Palos Km 24 5 Anon Cerrillos Unit 10,Ponce,Puerto Rico,2400.0,00717
4843,for_sale,40000.0,3.0,2.0,0.06,"5 St 5 St Unit C18, Naguabo, PR, 00718",5 St 5 St Unit C18,Naguabo,Puerto Rico,1019.0,00718
4850,for_sale,1500000.0,2.0,1.0,40.8,"191 Bo Rio Blanco Km # 97, Naguabo, PR, 00718",191 Bo Rio Blanco Km # 97,Naguabo,Puerto Rico,900.0,00718
4855,for_sale,55000.0,2.0,1.0,0.97,"152 Int Lote B El Bronco Cedro Abajo Rd Lot B, Naranjito, PR, 00719",152 Int Lote B El Bronco Cedro Abajo Rd Lot B,Naranjito,Puerto Rico,1500.0,00719
4860,for_sale,70000.0,2.0,1.0,0.23,"5 Rivera St Unit 5, Naranjito, PR, 00719",5 Rivera St Unit 5,Naranjito,Puerto Rico,620.0,00719
8451,for_sale,240000.0,2.0,2.0,0.11,"Villa Pesquera Comm 1 St Unit 20, Patillas, PR, 00723",Villa Pesquera Comm 1 St Unit 20,Patillas,Puerto Rico,645.0,00723
8461,for_sale,64000.0,3.0,1.0,2.03,"Km 2 3 Pr, Caguas, PR, 00725",Km 2 3 Pr,Caguas,Puerto Rico,678.0,00725
8463,for_sale,85000.0,7.0,4.0,0.08,"L10 Santa Ines St, Caguas, PR, 00725",L10 Santa Ines St,Caguas,Puerto Rico,950.0,00725
8465,for_sale,110000.0,4.0,2.0,0.4,"Parque Las Hacienda Calle Abacoa # E24, Caguas, PR, 00725",Parque Las Hacienda Calle Abacoa # E24,Caguas,Puerto Rico,9180.0,00725
8467,for_sale,110000.0,3.0,2.0,0.02,"Calle Bonaparte 1-Ave Gautier Benitez Rd Unit 1000, Caguas, PR, 00725",Calle Bonaparte 1-Ave Gautier Benitez Rd Unit 1000,Caguas,Puerto Rico,1048.0,00725
8468,for_sale,80000.0,3.0,1.0,0.03,"Calle 3 Urb San Rafael # D50, Caguas, PR, 00725",Calle 3 Urb San Rafael # D50,Caguas,Puerto Rico,831.0,00725
8469,for_sale,295000.0,6.0,6.0,0.11,"35 Calle Amatista, Caguas, PR, 00725",35 Calle Amatista,Caguas,Puerto Rico,3801.0,00725
8471,for_sale,175000.0,3.0,2.0,0.08,"I6 Calle 10 Villa Nueva, Caguas, PR, 00725",I6 Calle 10 Villa Nueva,Caguas,Puerto Rico,1343.0,00725
8472,for_sale,450000.0,4.0,4.0,0.1,"3 Street Estancias Del Lago, Caguas, PR, 00725",3 Street Estancias Del Lago,Caguas,Puerto Rico,2818.0,00725
8474,for_sale,95000.0,3.0,2.0,0.02,"Paseo Las Catalinas Calle Panama 202 Unit 202, Caguas, PR, 00725",Paseo Las Catalinas Calle Panama 202 Unit 202,Caguas,Puerto Rico,923.0,00725
8475,for_sale,92500.0,3.0,2.0,0.06,"Villas Del Turabo Calle Laurel E # 34, Caguas, PR, 00725",Villas Del Turabo Calle Laurel E # 34,Caguas,Puerto Rico,919.0,00725
8477,for_sale,1375000.0,6.0,8.0,0.7,"El Recreo El Recreo, Caguas, PR, 00725",El Recreo El Recreo,Caguas,Puerto Rico,8500.0,00725
8480,for_sale,120000.0,3.0,1.0,0.02,"501-873879 7X Opalo Villa Blanca, Caguas, PR, 00725",501-873879 7X Opalo Villa Blanca,Caguas,Puerto Rico,1017.0,00725
8482,for_sale,138000.0,4.0,2.0,0.02,"AC-39 Nebraska St, Caguas, PR, 00725",AC-39 Nebraska St,Caguas,Puerto Rico,1131.0,00725
8486,for_sale,795000.0,4.0,4.0,2500.0,"A51 E Urb Caguas Real Home Resort Alcazar E, Caguas, PR, 00725",A51 E Urb Caguas Real Home Resort Alcazar E,Caguas,Puerto Rico,4400.0,00725
8503,for_sale,69000.0,3.0,2.0,0.06,"2 A 2A Unit 194B, Caguas, PR, 00727",2 A 2A Unit 194B,Caguas,Puerto Rico,828.0,00727
8506,for_sale,115000.0,3.0,2.0,0.02,"P-235 Cond Vis, Caguas, PR, 00727",P-235 Cond Vis,Caguas,Puerto Rico,1293.0,00727
8514,for_sale,80000.0,3.0,1.0,0.2,"31C Sector Las Carolinas Bo Bairoa, Caguas, PR, 00727",31C Sector Las Carolinas Bo Bairoa,Caguas,Puerto Rico,900.0,00727
8515,for_sale,120000.0,3.0,1.0,0.07,"Parque Del Ro C-22 Calle Aymaco, Caguas, PR, 00727",Parque Del Ro C-22 Calle Aymaco,Caguas,Puerto Rico,846.0,00727
8525,for_sale,95000.0,3.0,10.0,2960.0,"3009 Calle Cofresi, Ponce, PR, 00728",3009 Calle Cofresi,Ponce,Puerto Rico,638.0,00728
8534,for_sale,100000.0,2.0,1.0,0.08,"230 Rio De Vida St, Ponce, PR, 00730",230 Rio De Vida St,Ponce,Puerto Rico,817.0,00730
8535,for_sale,95000.0,3.0,2.0,1825.0,"A 12 Lomas Del Sol, Ponce, PR, 00730",A 12 Lomas Del Sol,Ponce,Puerto Rico,1800.0,00730
8541,for_sale,99995.0,3.0,1.0,0.06,"1917 Calle La Milagrosa, Ponce, PR, 00730",1917 Calle La Milagrosa,Ponce,Puerto Rico,840.0,00730
8543,for_sale,795000.0,5.0,5.0,0.42,"29 Calle 6, Ponce, PR, 00730",29 Calle 6,Ponce,Puerto Rico,5575.0,00730
8544,for_sale,499000.0,4.0,2.0,0.12,"14 Street Urb Estancias Del Monte Unit B5, Ponce, PR, 00730",14 Street Urb Estancias Del Monte Unit B5,Ponce,Puerto Rico,2971.0,00730
8547,for_sale,65000.0,3.0,1.0,0.24,"Carr 566 Km 1 2 Int Bo Saltos, Orocovis, PR, 00720",Carr 566 Km 1 2 Int Bo Saltos,Orocovis,Puerto Rico,900.0,00720
8548,for_sale,200000.0,7.0,5.0,0.14,"Carr 157 Km 20 4 Int Bo Damian Arriba, Orocovis, PR, 00720",Carr 157 Km 20 4 Int Bo Damian Arriba,Orocovis,Puerto Rico,3000.0,00720
8549,for_sale,120000.0,4.0,3.0,0.22,"Carretera 568 Km 2 2 Bo Orocovis, Orocovis, PR, 00720",Carretera 568 Km 2 2 Bo Orocovis,Orocovis,Puerto Rico,1430.0,00720
8550,for_sale,76000.0,3.0,1.0,0.07,"Carr 157 Km 24 1 Int Bo Barros, Orocovis, PR, 00720",Carr 157 Km 24 1 Int Bo Barros,Orocovis,Puerto Rico,1000.0,00720
8551,for_sale,99995.0,6.0,4.0,0.09,"PR-157 Km 3 4 Bo Cacao, Orocovis, PR, 00720",PR-157 Km 3 4 Bo Cacao,Orocovis,Puerto Rico,1750.0,00720
8598,for_sale,210000.0,3.0,4.0,5.0,"Km 18 9-San Patricio 503 Rd, Ponce, PR, 00731",Km 18 9-San Patricio 503 Rd,Ponce,Puerto Rico,1500.0,00731
8599,for_sale,57900.0,3.0,1.0,0.24,"Sabanetas Ward Loma Bonita, Ponce, PR, 00731",Sabanetas Ward Loma Bonita,Ponce,Puerto Rico,845.0,00731
8607,for_sale,300000.0,6.0,2.0,1.56,"Carr 123 Km 24 4 Bo Guaraguao, Ponce, PR, 00731",Carr 123 Km 24 4 Bo Guaraguao,Ponce,Puerto Rico,2250.0,00731
8619,for_sale,96000.0,2.0,1.0,0.07,"25 Calle 2 # 25, Canovanas, PR, 00729",25 Calle 2 # 25,Canovanas,Puerto Rico,900.0,00729
8649,for_sale,200000.0,3.0,2.0,0.02,"Cond Costa Brava Unit 101, Ceiba, PR, 00735",Cond Costa Brava Unit 101,Ceiba,Puerto Rico,1126.0,00735
8650,for_sale,399900.0,3.0,3.0,0.76,"Comm Aguas Claras Carr # 3, Ceiba, PR, 00735",Comm Aguas Claras Carr # 3,Ceiba,Puerto Rico,927.0,00735
